N,63,4,6.35%
e,66,4,6.35%
w,11,4,6.35%
s,49,4,6.35%
S,49,5,10.20%
o,55,5,10.20%
m,13,5,10.20%
e,66,5,10.20%
t,56,5,10.20%
h,25,5,10.20%
i,71,5,10.20%
n,63,5,10.20%
g,17,5,10.20%
h,25,5,10.20%
a,49,5,10.20%
p,22,5,10.20%
p,22,5,10.20%
e,66,5,10.20%
n,63,5,10.20%
e,66,5,10.20%
d,28,5,10.20%
L,30,2,6.67%
o,55,2,6.67%
n,63,2,6.67%
d,28,2,6.67%
o,55,2,6.67%
n,63,2,6.67%
2,24,2,6.67%
0,36,2,6.67%
2,24,2,6.67%
5,14,2,6.67%
-,19,2,6.67%
0,36,2,6.67%
9,13,2,6.67%
-,19,2,6.67%
1,20,2,6.67%
9,13,2,6.67%
1,20,2,6.67%
8,9,2,6.67%
:,24,2,6.67%
3,11,2,6.67%
1,20,2,6.67%
:,24,2,6.67%
2,24,2,6.67%
7,3,2,6.67%
N,63,4,6.35%
e,66,4,6.35%
w,11,4,6.35%
s,49,4,6.35%
S,49,5,10.20%
o,55,5,10.20%
m,13,5,10.20%
e,66,5,10.20%
t,56,5,10.20%
h,25,5,10.20%
i,71,5,10.20%
n,63,5,10.20%
g,17,5,10.20%
o,55,5,10.20%
t,56,5,10.20%
h,25,5,10.20%
e,66,5,10.20%
r,38,5,10.20%
h,25,5,10.20%
a,49,5,10.20%
p,22,5,10.20%
p,22,5,10.20%
e,66,5,10.20%
n,63,5,10.20%
e,66,5,10.20%
d,28,5,10.20%
M,13,2,15.38%
i,71,2,15.38%
n,63,2,15.38%
s,49,2,15.38%
k,6,2,15.38%
2,24,2,15.38%
0,36,2,15.38%
2,24,2,15.38%
5,14,2,15.38%
-,19,2,15.38%
0,36,2,15.38%
9,13,2,15.38%
-,19,2,15.38%
1,20,2,15.38%
9,13,2,15.38%
1,20,2,15.38%
8,9,2,15.38%
:,24,2,15.38%
3,11,2,15.38%
1,20,2,15.38%
:,24,2,15.38%
4,2,2,15.38%
9,13,2,15.38%
P,22,2,9.09%
r,38,2,9.09%
i,71,2,9.09%
v,7,2,9.09%
a,49,2,9.09%
t,56,2,9.09%
e,66,2,9.09%
A,49,5,10.20%
d,28,5,10.20%
I,71,2,2.82%
w,11,2,2.82%
a,49,2,2.82%
n,63,2,2.82%
t,56,2,2.82%
t,56,2,2.82%
o,55,2,2.82%
s,49,2,2.82%
e,66,2,2.82%
l,30,2,2.82%
l,30,2,2.82%
a,49,2,2.82%
b,9,2,2.82%
i,71,2,2.82%
k,6,2,2.82%
e,66,2,2.82%
U,25,2,8.00%
n,63,2,8.00%
t,56,2,8.00%
i,71,2,8.00%
l,30,2,8.00%
:,24,2,8.00%
2,24,2,8.00%
0,36,2,8.00%
2,24,2,8.00%
5,14,2,8.00%
-,19,2,8.00%
1,20,2,8.00%
2,24,2,8.00%
-,19,2,8.00%
3,11,2,8.00%
1,20,2,8.00%
0,36,2,8.00%
0,36,2,8.00%
:,24,2,8.00%
0,36,2,8.00%
0,36,2,8.00%
:,24,2,8.00%
0,36,2,8.00%
0,36,2,8.00%
1,20,2,8.00%
0,36,2,8.00%
2,24,2,8.00%
d,28,2,8.00%
a,49,2,8.00%
y,17,2,8.00%
s,49,2,8.00%
5,14,2,8.00%
:,24,2,8.00%
2,24,2,8.00%
7,3,2,8.00%
:,24,2,8.00%
3,11,2,8.00%
